label,status,url,host,total_bytes,downloaded_bytes,accept_ranges,attempts,resumes,stalls,wall_time_s,active_transfer_s,avg_rate_MBps,sha256_match,dns_s,tcp_connect_s,tls_handshake_s,ttfb_s,peer_ip,tls_version,reverse_dns,hop_count,traceroute_status,dest_org,dest_country,started,finished
ORNL_1GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5-1/historical/r24i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5-1_historical_r24i1p1f1_gn_190101-191012.nc,esgf-node.ornl.gov,980172278,980172278,True,2,0,0,634.29,599.6801889000053,1.559,True,0.0006,0.2804,0.2864,0.6611,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,,unavailable: timed out after 60s,,,2026-07-02T07:53:56.263777+00:00,2026-07-02T08:04:30.672083+00:00
ORNL_2GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/historical/r1i1p1f2/Omon/thetao/gn/v20220512/thetao_Omon_UKESM1-1-LL_historical_r1i1p1f2_gn_200001-201412.nc,esgf-node.ornl.gov,2069864679,2069864679,True,1,0,0,1651.15,1649.766857599985,1.197,True,0.118,0.2825,0.2958,0.6431,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,,unavailable: timed out after 60s,,,2026-07-02T08:04:30.690298+00:00,2026-07-02T08:32:02.074628+00:00
ORNL_3GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r9i1p1f2/Omon/thetao/gn/v20190125/thetao_Omon_CNRM-CM6-1_historical_r9i1p1f2_gn_187501-189912.nc,esgf-node.ornl.gov,3453324820,3453324820,True,1,0,0,1829.68,1827.6729520999943,1.802,True,0.1038,0.285,0.9392,0.5798,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,,unavailable: timed out after 60s,,,2026-07-02T08:32:02.091535+00:00,2026-07-02T09:02:32.135184+00:00
NERSC-GLOBUS_1GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5-1/historical/r24i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5-1_historical_r24i1p1f1_gn_190101-191012.nc,g-52ba3.fd635.8443.data.globus.org,,980172278,True,1,0,0,61.6,58.98614799999632,15.847,True,0.0008,0.2831,0.9086,1.3417,140.221.68.108,TLSv1.3,dtn-05.pub.alcf.anl.gov,3,ok,,,2026-07-02T09:02:35.285766+00:00,2026-07-02T09:03:36.984347+00:00
NERSC-GLOBUS_2GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/historical/r1i1p1f2/Omon/thetao/gn/v20220512/thetao_Omon_UKESM1-1-LL_historical_r1i1p1f2_gn_200001-201412.nc,g-52ba3.fd635.8443.data.globus.org,,2069864679,True,1,0,0,74.96,73.37586030000239,26.902,True,0.0877,0.2733,0.2819,0.9064,140.221.68.105,TLSv1.3,dtn-05.pub.alcf.anl.gov,3,ok,,,2026-07-02T09:03:37.000558+00:00,2026-07-02T09:04:52.134556+00:00
NERSC-GLOBUS_3GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r9i1p1f2/Omon/thetao/gn/v20190125/thetao_Omon_CNRM-CM6-1_historical_r9i1p1f2_gn_187501-189912.nc,g-52ba3.fd635.8443.data.globus.org,,3453324820,True,1,0,0,73.14,71.43824650000897,46.101,True,0.0807,0.2719,0.2837,1.0224,140.221.68.109,TLSv1.3,dtn-05.pub.alcf.anl.gov,3,ok,,,2026-07-02T09:04:52.152303+00:00,2026-07-02T09:06:05.718558+00:00
NERSC-GLOBUS_11GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2L/historical/r7i1p1f2/Omon/thetao/gr1/v20200731/thetao_Omon_MIROC-ES2L_historical_r7i1p1f2_gr1_185001-201412.nc,g-52ba3.fd635.8443.data.globus.org,,12047537377,True,1,0,0,450.21,447.74851299999864,25.66,True,0.0601,0.2747,0.8976,1.1908,140.221.68.108,TLSv1.3,dtn-05.pub.alcf.anl.gov,3,ok,,,2026-07-02T09:06:05.736294+00:00,2026-07-02T09:13:37.141422+00:00
