label,status,url,host,total_bytes,downloaded_bytes,accept_ranges,attempts,resumes,stalls,wall_time_s,active_transfer_s,avg_rate_MBps,sha256_match,dns_s,tcp_connect_s,tls_handshake_s,ttfb_s,peer_ip,tls_version,reverse_dns,hop_count,traceroute_status,dest_org,dest_country,started,finished
ORNL_1GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5-1/historical/r24i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5-1_historical_r24i1p1f1_gn_190101-191012.nc,esgf-node.ornl.gov,980172278,980172278,True,1,0,0,293.03,291.3853766670072,3.208,True,0.0019,0.3765,0.3916,0.8442,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,3,ok,,,2026-07-02T00:58:37.278669+00:00,2026-07-02T01:03:30.320236+00:00
ORNL_2GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/historical/r1i1p1f2/Omon/thetao/gn/v20220512/thetao_Omon_UKESM1-1-LL_historical_r1i1p1f2_gn_200001-201412.nc,esgf-node.ornl.gov,2069864679,2069864679,True,1,0,0,449.24,446.7717689580022,4.418,True,0.1222,0.283,1.1018,0.908,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,3,ok,,,2026-07-02T01:03:30.330245+00:00,2026-07-02T01:10:59.594700+00:00
ORNL_3GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r9i1p1f2/Omon/thetao/gn/v20190125/thetao_Omon_CNRM-CM6-1_historical_r9i1p1f2_gn_187501-189912.nc,esgf-node.ornl.gov,3453324820,3453324820,True,8,7,3,1048.64,845.5444691250013,3.895,True,0.1443,0.2848,0.2904,0.5882,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,3,ok,,,2026-07-02T01:10:59.649761+00:00,2026-07-02T01:58:22.888789+00:00
NERSC-GLOBUS_1GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5-1/historical/r24i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5-1_historical_r24i1p1f1_gn_190101-191012.nc,g-52ba3.fd635.8443.data.globus.org,,980172278,True,1,0,0,72.78,71.03095675000804,13.16,True,0.0025,0.2761,0.2862,1.1485,140.221.68.109,TLSv1.3,dtn-05.pub.alcf.anl.gov,3,ok,,,2026-07-02T01:58:24.559653+00:00,2026-07-02T01:59:37.348729+00:00
NERSC-GLOBUS_2GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/MOHC/UKESM1-1-LL/historical/r1i1p1f2/Omon/thetao/gn/v20220512/thetao_Omon_UKESM1-1-LL_historical_r1i1p1f2_gn_200001-201412.nc,g-52ba3.fd635.8443.data.globus.org,,2069864679,True,1,0,0,224.21,222.57549112499692,8.869,True,0.0031,0.2729,0.3269,0.9875,140.221.68.108,TLSv1.3,dtn-05.pub.alcf.anl.gov,3,ok,,,2026-07-02T01:59:37.355508+00:00,2026-07-02T02:03:21.596277+00:00
NERSC-GLOBUS_3GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r9i1p1f2/Omon/thetao/gn/v20190125/thetao_Omon_CNRM-CM6-1_historical_r9i1p1f2_gn_187501-189912.nc,g-52ba3.fd635.8443.data.globus.org,,3453324820,True,1,0,0,418.69,416.8434598330059,7.901,True,0.1325,0.3556,0.309,0.9959,140.221.68.107,TLSv1.3,dtn-05.pub.alcf.anl.gov,3,ok,,,2026-07-02T02:03:21.643143+00:00,2026-07-02T02:10:20.371221+00:00
NERSC-GLOBUS_11GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2L/historical/r7i1p1f2/Omon/thetao/gr1/v20200731/thetao_Omon_MIROC-ES2L_historical_r7i1p1f2_gr1_185001-201412.nc,g-52ba3.fd635.8443.data.globus.org,,12047537377,True,1,0,0,1286.86,1284.1996162079886,8.947,True,0.0915,0.2726,0.9527,1.2849,140.221.68.106,TLSv1.3,dtn-05.pub.alcf.anl.gov,3,ok,,,2026-07-02T02:10:20.436043+00:00,2026-07-02T02:31:47.525035+00:00
