origin_hostname,origin_country,origin_city,origin_isp,origin_public_ip,origin_geo_status,label,status,url,host,total_bytes,downloaded_bytes,accept_ranges,attempts,resumes,stalls,wall_time_s,active_transfer_s,avg_rate_MBps,sha256_match,dns_s,tcp_connect_s,tls_handshake_s,ttfb_s,peer_ip,tls_version,reverse_dns,hop_count,traceroute_status,dest_org,dest_country,started,finished
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),BSC_1GB,verified,https://esgf.bsc.es/thredds/fileServer/esg_dataroot/a1u8-CMIP-r20/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r20i1p1f1/day/hur/gr/v20210303/hur_day_EC-Earth3_historical_r20i1p1f1_gr_18500101-18501231.nc,esgf.bsc.es,1341138713,1341138713,True,1,0,0,83.53,82.74412944098003,15.457,True,0.0005,0.1889,0.3845,0.1935,84.88.53.197,TLSv1.2,esgf.bsc.es,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T00:59:01.489150+00:00,2026-07-10T01:00:25.228836+00:00
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),CEDA_1GB,verified,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.ceda.ac.uk,1110603079,1110603079,True,1,0,0,325.02,324.3311188860098,3.266,True,0.0007,0.1665,0.1684,0.3335,130.246.128.97,TLSv1.3,k8s-proxy.ceda.ac.uk,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T01:00:26.046421+00:00,2026-07-10T01:05:51.240243+00:00
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),DKRZ_1GB,verified,https://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf3.dkrz.de,1110603079,1110603079,True,1,0,0,54.09,53.209758458076976,19.905,True,0.0003,0.1656,0.1692,0.5254,136.172.32.139,TLSv1.3,esgf-fs1.cloud.dkrz.de,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T01:05:52.130457+00:00,2026-07-10T01:06:46.387994+00:00
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),IPSL_1GB,verified,https://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/E3hrPt/o3/gr/v20240619/o3_E3hrPt_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001010300-185101010000.nc,vesg.ipsl.upmc.fr,1384821748,1384821748,True,1,0,0,105.52,104.6844974270789,12.616,True,0.0002,0.1567,0.3181,0.3446,134.157.240.12,TLSv1.2,vesg.ipsl.upmc.fr,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T01:06:47.373855+00:00,2026-07-10T01:08:33.105645+00:00
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),NCI_1GB,failed,https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.nci.org.au,,0,,6,0,0,303.2,0.0,,,,,,,,,esgf.nci.org.au,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T01:08:33.645839+00:00,2026-07-10T01:13:36.844327+00:00
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),NORESG_1GB,complete_unverified,https://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/CMIP/NCC/NorCPM1/historical/r4i1p1f1/Amon/hus/gn/v20200724/hus_Amon_NorCPM1_historical_r4i1p1f1_gn_185001-201412.nc,noresg.nird.sigma2.no,1249487683,1249487683,True,1,0,0,20.76,20.018048834986985,59.526,,0.0034,0.1704,0.1736,0.3751,158.36.102.245,TLSv1.3,,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T01:13:42.732806+00:00,2026-07-10T01:14:03.685628+00:00
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),LIU_1GB,failed,https://esg-dn1.nsc.liu.se/thredds/fileServer/esg_dataroot10/cmip6data/20250305_smhi_req00232/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-HR/historical/r1i1p1f1/Omon/so/gn/v20250225/so_Omon_EC-Earth3-HR_historical_r1i1p1f1_gn_185101-185112.nc,esg-dn1.nsc.liu.se,,0,,6,0,0,302.19,0.0,,,,,,,,,esg-dn1.nsc.liu.se,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T01:14:05.710849+00:00,2026-07-10T01:19:07.904526+00:00
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),ORNL_1GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf-node.ornl.gov,1110603079,1110603079,True,1,0,0,19.77,19.410507414955646,54.566,True,0.0034,0.0606,0.0625,0.2143,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T01:19:08.221638+00:00,2026-07-10T01:19:28.174240+00:00
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),ANL-GLOBUS_1GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-52ba3.fd635.8443.data.globus.org,,1110603079,True,1,0,0,12.68,12.109215463977307,87.467,True,0.0036,0.045,0.0511,0.4611,140.221.68.107,TLSv1.3,dtn-05.pub.alcf.anl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T01:19:28.240521+00:00,2026-07-10T01:19:41.096917+00:00
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),NERSC-GLOBUS_1GB,verified,https://g-eba899.6b7bd8.0ec8.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-eba899.6b7bd8.0ec8.data.globus.org,,1110603079,True,1,0,0,6.69,5.681216398021206,186.431,True,0.0026,0.0002,0.0038,0.9881,128.55.200.27,TLSv1.3,dtn-ro-new.nersc.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T01:19:41.168963+00:00,2026-07-10T01:19:48.032502+00:00
