origin_hostname,origin_country,origin_city,origin_isp,origin_public_ip,origin_geo_status,label,status,url,host,total_bytes,downloaded_bytes,accept_ranges,attempts,resumes,stalls,wall_time_s,active_transfer_s,avg_rate_MBps,sha256_match,dns_s,tcp_connect_s,tls_handshake_s,ttfb_s,peer_ip,tls_version,reverse_dns,hop_count,traceroute_status,dest_org,dest_country,started,finished
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),BSC_1GB,verified,https://esgf.bsc.es/thredds/fileServer/esg_dataroot/a1u8-CMIP-r20/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r20i1p1f1/day/hur/gr/v20210303/hur_day_EC-Earth3_historical_r20i1p1f1_gr_18500101-18501231.nc,esgf.bsc.es,1341138713,1341138713,True,1,0,0,152.75,151.43261885799984,8.446,True,0.0023,0.3241,0.6541,0.3299,84.88.53.197,TLSv1.2,esgf.bsc.es,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T11:23:08.339043+00:00,2026-07-04T11:25:41.175200+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),CEDA_1GB,verified,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.ceda.ac.uk,1110603079,1110603079,True,1,0,0,130.79,129.6346761019995,8.17,True,0.0022,0.2779,0.2853,0.5856,130.246.128.97,TLSv1.3,k8s-proxy.ceda.ac.uk,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T11:25:43.837662+00:00,2026-07-04T11:27:54.702136+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),DKRZ_1GB,verified,https://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf3.dkrz.de,1110603079,1110603079,True,1,0,0,123.96,122.44561010300094,8.65,True,0.002,0.2915,0.2974,0.9173,136.172.32.139,TLSv1.3,esgf-fs1.cloud.dkrz.de,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T11:27:56.482933+00:00,2026-07-04T11:30:00.533736+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),IPSL_1GB,verified,https://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/E3hrPt/o3/gr/v20240619/o3_E3hrPt_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001010300-185101010000.nc,vesg.ipsl.upmc.fr,1384821748,1384821748,True,1,0,0,165.16,163.84466289800002,8.06,True,0.0028,0.2866,0.5746,0.4436,134.157.240.12,TLSv1.2,vesg.ipsl.upmc.fr,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T11:30:02.326163+00:00,2026-07-04T11:32:47.593165+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),NCI_1GB,verified,https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.nci.org.au,1110603079,1110603079,True,1,0,0,99.8,99.37951464999969,10.658,True,0.002,0.0631,0.2049,0.1478,130.56.243.38,TLSv1.3,esgf.nci.org.au,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T11:32:47.726657+00:00,2026-07-04T11:34:27.615684+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),NORESG_1GB,complete_unverified,https://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/CMIP/NCC/NorCPM1/historical/r4i1p1f1/Amon/hus/gn/v20200724/hus_Amon_NorCPM1_historical_r4i1p1f1_gn_185001-201412.nc,noresg.nird.sigma2.no,1249487683,1249487683,True,1,0,0,93.68,92.39378204500099,12.897,,0.003,0.2387,0.5576,0.4787,158.36.102.245,TLSv1.3,,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T11:34:30.645017+00:00,2026-07-04T11:36:04.423834+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),ORNL_1GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf-node.ornl.gov,1110603079,1110603079,True,1,0,0,2196.94,2194.783515986999,0.483,True,0.0067,0.2869,0.9341,0.9174,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T11:36:05.416113+00:00,2026-07-04T12:12:42.439090+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),ANL-GLOBUS_1GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-52ba3.fd635.8443.data.globus.org,,1110603079,True,1,0,0,71.31,69.75918047099913,15.183,True,0.0024,0.274,0.2808,0.9872,140.221.68.107,TLSv1.3,dtn-05.pub.alcf.anl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T12:12:42.653270+00:00,2026-07-04T12:13:53.984033+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),NERSC-GLOBUS_1GB,verified,https://g-eba899.6b7bd8.0ec8.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-eba899.6b7bd8.0ec8.data.globus.org,,1110603079,True,1,0,0,84.19,82.33063267100079,12.865,True,0.0021,0.2318,0.2402,1.3711,128.55.200.27,TLSv1.3,dtn-ro-new.nersc.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T12:13:54.131376+00:00,2026-07-04T12:15:18.404304+00:00
