origin_hostname,origin_country,origin_city,origin_isp,origin_public_ip,origin_geo_status,label,status,url,host,total_bytes,downloaded_bytes,accept_ranges,attempts,resumes,stalls,wall_time_s,active_transfer_s,avg_rate_MBps,sha256_match,dns_s,tcp_connect_s,tls_handshake_s,ttfb_s,peer_ip,tls_version,reverse_dns,hop_count,traceroute_status,dest_org,dest_country,started,finished
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),BSC_1GB,verified,https://esgf.bsc.es/thredds/fileServer/esg_dataroot/a1u8-CMIP-r20/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r20i1p1f1/day/hur/gr/v20210303/hur_day_EC-Earth3_historical_r20i1p1f1_gr_18500101-18501231.nc,esgf.bsc.es,1341138713,1341138713,True,1,0,0,83.85,83.05611734790727,15.399,True,0.0029,0.1905,0.3881,0.1982,84.88.53.197,TLSv1.2,esgf.bsc.es,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T00:23:16.397251+00:00,2026-07-10T00:24:40.459657+00:00
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),CEDA_1GB,verified,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.ceda.ac.uk,1110603079,1110603079,True,1,0,0,319.02,318.3743732069852,3.327,True,0.0038,0.1561,0.1582,0.3157,130.246.128.97,TLSv1.3,k8s-proxy.ceda.ac.uk,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T00:24:42.004486+00:00,2026-07-10T00:30:01.200740+00:00
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),DKRZ_1GB,verified,https://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf3.dkrz.de,1110603079,1110603079,True,1,0,0,53.62,52.71226663305424,20.093,True,0.0035,0.163,0.1664,0.5619,136.172.32.139,TLSv1.3,esgf-fs1.cloud.dkrz.de,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T00:30:03.385096+00:00,2026-07-10T00:30:57.183074+00:00
login15,United States,Berkeley,National Energy Research Scientific Computing Center,128.55.64.24,ok (ipwho.is),IPSL_1GB,verified,https://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/E3hrPt/o3/gr/v20240619/o3_E3hrPt_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001010300-185101010000.nc,vesg.ipsl.upmc.fr,1384821748,1384821748,True,1,0,0,101.05,100.0189359379001,13.204,True,0.0025,0.1628,0.3301,0.519,134.157.240.12,TLSv1.2,vesg.ipsl.upmc.fr,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-10T00:30:58.789761+00:00,2026-07-10T00:32:40.059324+00:00
