origin_hostname,origin_country,origin_city,origin_isp,origin_public_ip,origin_geo_status,label,status,url,host,total_bytes,downloaded_bytes,accept_ranges,attempts,resumes,stalls,wall_time_s,active_transfer_s,avg_rate_MBps,sha256_match,dns_s,tcp_connect_s,tls_handshake_s,ttfb_s,peer_ip,tls_version,reverse_dns,hop_count,traceroute_status,dest_org,dest_country,started,finished
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),CEDA_1GB,verified,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.ceda.ac.uk,1110603079,1110603079,True,1,0,0,123.25,122.10424310400003,8.674,True,0.0022,0.2735,0.2767,0.5815,130.246.128.97,TLSv1.3,k8s-proxy.ceda.ac.uk,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T09:11:16.712184+00:00,2026-07-04T09:13:20.043425+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),CEDA_2GB,verified,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Omon/thetao/gn/v20190627/thetao_Omon_UKESM1-0-LL_historical_r1i1p1f2_gn_200001-201412.nc,esgf.ceda.ac.uk,2072144713,2072144713,True,1,0,0,236.18,234.97876097899962,8.41,True,0.0556,0.2725,0.2789,0.5822,130.246.128.97,TLSv1.3,k8s-proxy.ceda.ac.uk,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T09:13:20.058530+00:00,2026-07-04T09:17:16.358492+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),DKRZ_1GB,verified,https://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf3.dkrz.de,1110603079,1110603079,True,1,0,0,130.06,128.62428305399953,8.234,True,0.0019,0.2965,0.287,0.842,136.172.32.139,TLSv1.3,esgf-fs1.cloud.dkrz.de,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T09:17:16.698580+00:00,2026-07-04T09:19:26.840472+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),DKRZ_2GB,verified,https://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Omon/thetao/gn/v20190627/thetao_Omon_UKESM1-0-LL_historical_r1i1p1f2_gn_200001-201412.nc,esgf3.dkrz.de,2072144713,2072144713,True,1,0,0,255.96,254.4211801219999,7.767,True,0.0065,0.3079,0.3048,0.9086,136.172.32.139,TLSv1.3,esgf-fs1.cloud.dkrz.de,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T09:19:26.861635+00:00,2026-07-04T09:23:42.972467+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),NCI_1GB,verified,https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.nci.org.au,1110603079,1110603079,True,1,0,0,46.71,46.42790382000021,22.813,True,0.0046,0.0672,0.0672,0.1343,130.56.243.38,TLSv1.3,esgf.nci.org.au,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T09:23:43.563433+00:00,2026-07-04T09:24:30.353186+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),NCI_3GB,verified,https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r9i1p1f2/Omon/thetao/gn/v20190125/thetao_Omon_CNRM-CM6-1_historical_r9i1p1f2_gn_187501-189912.nc,esgf.nci.org.au,3453324820,3453324820,True,1,0,0,156.68,156.2016413909996,21.084,True,0.0052,0.0635,0.2092,0.1958,130.56.243.38,TLSv1.3,esgf.nci.org.au,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T09:24:30.369634+00:00,2026-07-04T09:27:07.275029+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),NCI_11GB,verified,https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MIROC/MIROC-ES2L/historical/r1i1p1f2/Omon/thetao/gr1/v20200731/thetao_Omon_MIROC-ES2L_historical_r1i1p1f2_gr1_185001-201412.nc,esgf.nci.org.au,12044874589,12044874589,True,1,0,0,421.2,420.9154620470008,27.29,True,0.0026,0.0632,0.068,0.1423,130.56.243.38,TLSv1.3,esgf.nci.org.au,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T09:27:07.292185+00:00,2026-07-04T09:34:09.226848+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),ORNL_1GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf-node.ornl.gov,1110603079,1110603079,True,1,0,0,1312.5,1311.05086562,0.808,True,0.0024,0.2851,0.2878,0.8728,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T09:34:10.352590+00:00,2026-07-04T09:56:02.947810+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),ORNL_2GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Omon/thetao/gn/v20190627/thetao_Omon_UKESM1-0-LL_historical_r1i1p1f2_gn_200001-201412.nc,esgf-node.ornl.gov,2072144713,2072144713,True,1,0,0,621.04,618.7895857239992,3.194,True,0.1668,0.2847,0.9241,0.8645,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T09:56:02.964762+00:00,2026-07-04T10:06:24.159523+00:00
trusty3,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),ANL-GLOBUS_1GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-52ba3.fd635.8443.data.globus.org,,1110603079,True,1,0,0,65.1,63.440396973000134,16.695,True,0.0028,0.2713,0.2734,1.1076,140.221.68.106,TLSv1.3,dtn-05.pub.alcf.anl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-04T10:06:25.220227+00:00,2026-07-04T10:07:30.403385+00:00
