origin_hostname,origin_country,origin_city,origin_isp,origin_public_ip,origin_geo_status,label,status,url,host,total_bytes,downloaded_bytes,accept_ranges,attempts,resumes,stalls,wall_time_s,active_transfer_s,avg_rate_MBps,sha256_match,dns_s,tcp_connect_s,tls_handshake_s,ttfb_s,peer_ip,tls_version,reverse_dns,hop_count,traceroute_status,dest_org,dest_country,started,finished
9Y3M8F4,Australia,Perth,DATACOM SYSTEMS (AU) PTY LTD,203.20.249.7,ok (ipwho.is),BSC_1GB,verified,https://esgf.bsc.es/thredds/fileServer/esg_dataroot/a1u8-CMIP-r20/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r20i1p1f1/day/hur/gr/v20210303/hur_day_EC-Earth3_historical_r20i1p1f1_gr_18500101-18501231.nc,esgf.bsc.es,1341138713,1341138713,True,1,0,0,341.02,339.57776369992644,3.766,True,0.0028,0.274,0.5592,0.5774,84.88.53.197,TLSv1.2,esgf.bsc.es,,unavailable: timed out after 60s,,,2026-07-07T07:42:42.354343+00:00,2026-07-07T07:48:23.525774+00:00
9Y3M8F4,Australia,Perth,DATACOM SYSTEMS (AU) PTY LTD,203.20.249.7,ok (ipwho.is),CEDA_1GB,verified,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.ceda.ac.uk,1110603079,1110603079,True,1,0,0,781.69,780.7864456999814,1.357,True,0.0005,0.2129,0.2157,0.4265,130.246.128.97,TLSv1.3,k8s-proxy.ceda.ac.uk,,unavailable: timed out after 60s,,,2026-07-07T07:49:25.546990+00:00,2026-07-07T08:02:27.341544+00:00
9Y3M8F4,Australia,Perth,DATACOM SYSTEMS (AU) PTY LTD,203.20.249.7,ok (ipwho.is),DKRZ_1GB,verified,https://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf3.dkrz.de,1110603079,1110603079,True,1,0,0,371.49,369.99533559998963,2.863,True,0.0009,0.284,0.2922,0.8617,136.172.32.139,TLSv1.3,esgf-fs1.cloud.dkrz.de,24,ok,,,2026-07-07T08:03:20.309594+00:00,2026-07-07T08:09:31.927565+00:00
9Y3M8F4,Australia,Perth,DATACOM SYSTEMS (AU) PTY LTD,203.20.249.7,ok (ipwho.is),IPSL_1GB,verified,https://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/E3hrPt/o3/gr/v20240619/o3_E3hrPt_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001010300-185101010000.nc,vesg.ipsl.upmc.fr,1384821748,1384821748,True,2,1,0,494.8,489.9474419999169,2.696,True,0.002,0.2792,0.5367,0.4575,134.157.240.12,TLSv1.2,vesg.ipsl.upmc.fr,,unavailable: timed out after 60s,,,2026-07-07T08:10:33.588376+00:00,2026-07-07T08:18:48.924248+00:00
9Y3M8F4,Australia,Perth,DATACOM SYSTEMS (AU) PTY LTD,203.20.249.7,ok (ipwho.is),NCI_1GB,verified,https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.nci.org.au,1110603079,1110603079,True,1,0,0,50.59,50.16518500004895,21.113,True,0.0019,0.0685,0.0733,0.1619,130.56.243.38,TLSv1.3,esgf.nci.org.au,14,ok,,,2026-07-07T08:19:03.346213+00:00,2026-07-07T08:19:54.279991+00:00
9Y3M8F4,Australia,Perth,DATACOM SYSTEMS (AU) PTY LTD,203.20.249.7,ok (ipwho.is),NORESG_1GB,complete_unverified,https://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/CMIP/NCC/NorCPM1/historical/r4i1p1f1/Amon/hus/gn/v20200724/hus_Amon_NorCPM1_historical_r4i1p1f1_gn_185001-201412.nc,noresg.nird.sigma2.no,1249487683,1249487683,True,1,0,0,341.55,340.13154440000653,3.503,,0.022,0.3134,0.3225,0.6112,158.36.102.245,TLSv1.3,,30,ok,,,2026-07-07T08:20:42.821280+00:00,2026-07-07T08:26:24.785480+00:00
9Y3M8F4,Australia,Perth,DATACOM SYSTEMS (AU) PTY LTD,203.20.249.7,ok (ipwho.is),LIU_1GB,verified,https://esg-dn1.nsc.liu.se/thredds/fileServer/esg_dataroot10/cmip6data/20250305_smhi_req00232/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-HR/historical/r1i1p1f1/Omon/so/gn/v20250225/so_Omon_EC-Earth3-HR_historical_r1i1p1f1_gn_185101-185112.nc,esg-dn1.nsc.liu.se,1692839176,1692839176,True,3,2,1,624.97,583.2710295000579,2.768,True,0.0012,0.223,0.6806,0.3137,130.236.100.123,TLSv1.2,esg-dn1.nsc.liu.se,22,ok,,,2026-07-07T08:27:02.592965+00:00,2026-07-07T08:37:28.053527+00:00
9Y3M8F4,Australia,Perth,DATACOM SYSTEMS (AU) PTY LTD,203.20.249.7,ok (ipwho.is),ORNL_1GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf-node.ornl.gov,1110603079,1110603079,True,1,0,0,3908.89,3907.3497669999488,0.271,True,0.0013,0.2856,0.2857,0.8484,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,,unavailable: timed out after 60s,,,2026-07-07T08:38:29.050745+00:00,2026-07-07T09:43:38.134913+00:00
9Y3M8F4,Australia,Perth,DATACOM SYSTEMS (AU) PTY LTD,203.20.249.7,ok (ipwho.is),ANL-GLOBUS_1GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-52ba3.fd635.8443.data.globus.org,,1110603079,True,1,0,0,71.47,69.83447190001607,15.167,True,0.0008,0.2729,0.2654,1.0412,140.221.68.108,TLSv1.3,dtn-05.pub.alcf.anl.gov,24,ok,,,2026-07-07T09:44:26.933366+00:00,2026-07-07T09:45:38.522120+00:00
9Y3M8F4,Australia,Perth,DATACOM SYSTEMS (AU) PTY LTD,203.20.249.7,ok (ipwho.is),NERSC-GLOBUS_1GB,verified,https://g-eba899.6b7bd8.0ec8.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-eba899.6b7bd8.0ec8.data.globus.org,,1110603079,True,1,0,0,225.85,222.56659990001936,4.759,True,0.7029,0.275,0.278,1.9894,128.55.200.27,TLSv1.3,dtn-ro-new.nersc.gov,,unavailable: timed out after 60s,,,2026-07-07T09:46:39.790900+00:00,2026-07-07T09:50:25.773947+00:00
