label,status,url,host,total_bytes,downloaded_bytes,accept_ranges,attempts,resumes,stalls,wall_time_s,active_transfer_s,avg_rate_MBps,sha256_match,dns_s,tcp_connect_s,tls_handshake_s,ttfb_s,peer_ip,tls_version,reverse_dns,hop_count,traceroute_status,dest_org,dest_country,started,finished
ANL-GLOBUS_1GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-52ba3.fd635.8443.data.globus.org,,1110603079,True,1,0,0,66.44,64.88229589799448,16.324,True,0.0026,0.277,0.2844,0.9868,140.221.68.108,TLSv1.3,dtn-05.pub.alcf.anl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T23:15:35.381963+00:00,2026-07-02T23:16:41.916522+00:00
ANL-GLOBUS_2GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Omon/thetao/gn/v20190627/thetao_Omon_UKESM1-0-LL_historical_r1i1p1f2_gn_200001-201412.nc,g-52ba3.fd635.8443.data.globus.org,,2072144713,True,1,0,0,118.92,117.16077277600562,16.867,True,0.1194,0.2726,0.2764,1.083,140.221.68.107,TLSv1.3,dtn-05.pub.alcf.anl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T23:16:41.935170+00:00,2026-07-02T23:18:40.982868+00:00
ANL-GLOBUS_3GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r9i1p1f2/Omon/thetao/gn/v20190125/thetao_Omon_CNRM-CM6-1_historical_r9i1p1f2_gn_187501-189912.nc,g-52ba3.fd635.8443.data.globus.org,,3453324820,True,1,0,0,196.71,194.99925150900526,16.889,True,0.1176,0.2739,0.2775,1.0276,140.221.68.105,TLSv1.3,dtn-05.pub.alcf.anl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T23:18:40.999675+00:00,2026-07-02T23:21:57.952081+00:00
NERSC-GLOBUS_1GB,verified,https://g-eba899.6b7bd8.0ec8.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-eba899.6b7bd8.0ec8.data.globus.org,,1110603079,True,1,0,0,67.62,65.87608667599852,16.078,True,0.0028,0.2281,0.2346,1.2664,128.55.200.27,TLSv1.3,dtn-ro-new.nersc.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T23:21:59.006848+00:00,2026-07-02T23:23:06.707864+00:00
NERSC-GLOBUS_2GB,verified,https://g-eba899.6b7bd8.0ec8.data.globus.org/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Omon/thetao/gn/v20190627/thetao_Omon_UKESM1-0-LL_historical_r1i1p1f2_gn_200001-201412.nc,g-eba899.6b7bd8.0ec8.data.globus.org,,2072144713,True,1,0,0,167.66,164.90934201300115,11.983,True,0.1516,0.2286,0.7426,1.6179,128.55.200.27,TLSv1.3,dtn-ro-new.nersc.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T23:23:06.726473+00:00,2026-07-02T23:25:54.471478+00:00
NERSC-GLOBUS_3GB,verified,https://g-eba899.6b7bd8.0ec8.data.globus.org/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r9i1p1f2/Omon/thetao/gn/v20190125/thetao_Omon_CNRM-CM6-1_historical_r9i1p1f2_gn_187501-189912.nc,g-eba899.6b7bd8.0ec8.data.globus.org,,3453324820,True,1,0,0,196.95,194.0796754779949,16.969,True,0.1177,0.2301,0.7595,1.7496,128.55.200.27,TLSv1.3,dtn-ro-new.nersc.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T23:25:54.487853+00:00,2026-07-02T23:29:11.505212+00:00
